Abbreviations,CSD type
C,City
CC,Chartered community
CG,Community government
CN,Crown colony
COM,Community
CT,Canton (municipalité de)
CU,Cantons unis (municipalité de)
CV,City
CY,City
DM,District municipality
HAM,Hamlet
ID,Improvement district
IGD,Indian government district
IM,Island municipality
IRI,Indian reserve
LGD,Local government district
LOT,Township and royalty
M,Municipality
MD,Municipal district
MÉ,Municipalité
MU,Municipality
NH,Northern hamlet
NL,Nisga'a land
NO,Unorganized
NV,Northern village
P,Parish
PE,Paroisse (municipalit‚ de)
RCR,Rural community
RDA,Regional district electoral area
RG,Region
RGM,Regional municipality
RM,Rural municipality
RV,Resort village
S-É,Indian settlement
SA,Special area
SC,Subdivision of county municipality
SÉ,Settlement
SET,Settlement
SG,Self-government
SM,Specialized municipality
SNO,Subdivision of unorganized
SV,Summer village
T,Town
TC,Terres réservées aux Cris
TI,Terre inuite
TK,Terres réservées aux Naskapis
TL,Teslin land
TP,Township
TV,Town
V,Ville
VC,Village cri
VK,Village naskapi
VL,Village
VN,Village nordique
