Abbreviations,CSD type
C,City
CC,Chartered community
CG,Community government
CN,Crown colony
COM,Community
CT,Canton (municipalitÈ de)
CU,Cantons unis (municipalitÈ de)
CV,City
CY,City
DM,District municipality
HAM,Hamlet
ID,Improvement district
IGD,Indian government district
IM,Island municipality
IRI,Indian reserve
LGD,Local government district
LOT,Township and royalty
M,Municipality
MD,Municipal district
Mê,Municipalit
MU,Municipality
NH,Northern hamlet
NL,Nisga'a land
NO,Unorganized
NV,Northern village
P,Parish
PE,Paroisse (municipalitÇ de)
RCR,Rural community
RDA,Regional district electoral area
RG,Region
RGM,Regional municipality
RM,Rural municipality
RV,Resort village
S-ê,Indian settlement
SA,Special area
SC,Subdivision of county municipality
Sê,Settlement
SET,Settlement
SG,Self-government
SM,Specialized municipality
SNO,Subdivision of unorganized
SV,Summer village
T,Town
TC,Terres rÈservÈes aux Cris
TI,Terre inuite
TK,Terres rÈservÈes aux Naskapis
TL,Teslin land
TP,Township
TV,Town
V,Ville
VC,Village cri
VK,Village naskapi
VL,Village
VN,Village nordique
